NULL,NULL,5397-130,264509-128,9,7
NULL,NULL,264472-128,6462-128,453,451
NULL,NULL,45353-0,5424-130,104,102
NULL,NULL,264599-128,6433-129,4,2
NULL,NULL,264270-130,256317-2,89,87
NULL,NULL,5561-130,277279-130,207,205
NULL,NULL,45353-1,264521-130,2,0
NULL,NULL,277403-130,256317-1,6,4
NULL,NULL,6435-129,264507-129,3,1
NULL,NULL,5422-128,5562-130,38,36
NULL,NULL,6435-128,47265-0,140,138
NULL,NULL,5419-130,264599-130,1395,1393
NULL,NULL,47265-1,264312-129,7,5
NULL,NULL,256704-2,47265-2,149,147
NULL,NULL,264270-129,47215-0,20,18
NULL,NULL,47220-0,6439-128,194,192
NULL,NULL,45463-0,269516-128,68,66
NULL,NULL,45436-2,5423-129,56,55
NULL,NULL,5422-129,5562-128,12,11
NULL,NULL,47353-0,264577-129,1,0
NULL,NULL,264296-128,45463-2,1,0
NULL,NULL,264270-130,5422-130,83,82
NULL,NULL,256632-0,5421-128,58,57
NULL,NULL,256632-2,264278-130,1,0
NULL,NULL,5562-129,264599-130,23,22
NULL,NULL,45436-2,47268-2,2,1
NULL,NULL,5419-129,256324-2,1,0
NULL,NULL,45353-2,5424-130,1,0
NULL,NULL,264270-130,5417-130,32,31
NULL,NULL,6435-128,277425-129,5,4
NULL,NULL,264661-130,256317-0,1,0
NULL,NULL,45436-0,45463-2,85,84
NULL,NULL,45353-2,277254-129,17,16
NULL,NULL,5561-128,264309-129,13,12
NULL,NULL,45454-1,277403-130,1,0
NULL,NULL,277347-130,277403-130,1,0
NULL,NULL,6439-129,264472-129,6,5
NULL,NULL,45436-0,6445-128,96,95
NULL,NULL,277403-129,45353-2,8,7
NULL,NULL,47244-2,264296-128,66,65
NULL,NULL,6435-128,264507-130,1,0
NULL,NULL,5419-129,45473-0,3,2
NULL,NULL,45454-1,264302-128,11,10
NULL,NULL,256632-0,277421-129,12,11
NULL,NULL,264599-128,264661-130,81,80
NULL,NULL,277403-130,256312-0,10,9
NULL,NULL,45463-0,264296-129,618,617
NULL,NULL,5419-129,264558-130,2,1
NULL,NULL,6439-130,47220-2,8,7
NULL,NULL,5421-129,264558-130,5624,5623
NULL,NULL,5562-128,264599-129,2,1
NULL,NULL,264661-129,256321-2,1,0
NULL,NULL,5562-129,5421-130,81,80
NULL,NULL,45463-2,45436-0,85,84
NULL,NULL,45436-2,256705-1,15,14
NULL,NULL,264472-130,47244-1,40,39
NULL,NULL,5562-129,256632-0,63,62
NULL,NULL,45436-1,47268-0,28,27
NULL,NULL,264296-130,45502-1,19,18
NULL,NULL,264270-129,45454-2,15,14
NULL,NULL,6462-129,256325-0,48,47
NULL,NULL,5422-128,256317-0,7,6
NULL,NULL,6435-130,264465-130,1,0
NULL,NULL,264273-128,47244-2,23,22
NULL,NULL,6435-128,264599-128,1,0
NULL,NULL,5421-130,264302-128,2,1
NULL,NULL,47353-0,264314-129,12,11
NULL,NULL,5421-130,256632-2,2,1
NULL,NULL,47353-0,5562-130,39,38
NULL,NULL,6439-130,264472-130,25,24
NULL,NULL,277403-130,256497-2,11,10
NULL,NULL,277403-129,45454-0,14,13
NULL,NULL,47353-0,264599-130,8,7
NULL,NULL,5562-128,264599-130,131,130
NULL,NULL,6435-130,264598-130,307,306
NULL,NULL,264661-130,45473-2,2,1
NULL,NULL,5421-128,256632-0,209,208
